[Plant3D] Experiment: Plant-GeoAT on greenhouse tomato point cloud segmentation
[Config] dataset=Tomato3D split=plant-level model=Plant-GeoAT optimizer=AdamW lr=0.001 batch_size=8
Epoch 001 | train_loss=1.432 | val_loss=1.221 | mIoU=0.421 | mAcc=0.566 | OA=0.702 | precision=0.612 | recall=0.584 | F1=0.598 | leaf_IoU=0.487 | stem_IoU=0.311
Epoch 002 | train_loss=1.210 | val_loss=1.026 | mIoU=0.486 | mAcc=0.611 | OA=0.748 | precision=0.661 | recall=0.622 | F1=0.641 | leaf_IoU=0.548 | stem_IoU=0.376
Epoch 003 | train_loss=1.087 | val_loss=0.944 | mIoU=0.533 | mAcc=0.646 | OA=0.774 | precision=0.689 | recall=0.651 | F1=0.669 | leaf_IoU=0.603 | stem_IoU=0.421
Epoch 004 | train_loss=0.982 | val_loss=0.861 | mIoU=0.587 | mAcc=0.692 | OA=0.802 | precision=0.721 | recall=0.689 | F1=0.705 | leaf_IoU=0.651 | stem_IoU=0.488
Epoch 005 | train_loss=0.905 | val_loss=0.802 | mIoU=0.632 | mAcc=0.724 | OA=0.827 | precision=0.748 | recall=0.714 | F1=0.731 | leaf_IoU=0.691 | stem_IoU=0.544
Epoch 006 | train_loss=0.832 | val_loss=0.748 | mIoU=0.671 | mAcc=0.756 | OA=0.846 | precision=0.772 | recall=0.744 | F1=0.758 | leaf_IoU=0.731 | stem_IoU=0.579
Epoch 007 | train_loss=0.771 | val_loss=0.706 | mIoU=0.701 | mAcc=0.781 | OA=0.861 | precision=0.791 | recall=0.764 | F1=0.777 | leaf_IoU=0.758 | stem_IoU=0.614
Epoch 008 | train_loss=0.718 | val_loss=0.671 | mIoU=0.725 | mAcc=0.802 | OA=0.873 | precision=0.806 | recall=0.783 | F1=0.794 | leaf_IoU=0.781 | stem_IoU=0.642
Epoch 009 | train_loss=0.683 | val_loss=0.645 | mIoU=0.746 | mAcc=0.817 | OA=0.884 | precision=0.821 | recall=0.801 | F1=0.811 | leaf_IoU=0.802 | stem_IoU=0.671
Epoch 010 | train_loss=0.642 | val_loss=0.619 | mIoU=0.764 | mAcc=0.831 | OA=0.892 | precision=0.835 | recall=0.817 | F1=0.826 | leaf_IoU=0.819 | stem_IoU=0.692
Epoch 011 | train_loss=0.605 | val_loss=0.594 | mIoU=0.781 | mAcc=0.842 | OA=0.901 | precision=0.846 | recall=0.829 | F1=0.837 | leaf_IoU=0.836 | stem_IoU=0.715
