product_id,title,category,price,impressions,clicks,sales,conversion_rate,stock,refund_rate,rating,campaign_status
P001,夏季轻薄面膜50片装,护肤,59.90,85000,6800,952,0.014,320,0.021,4.5,active
P002,玻尿酸补水精华液30ml,护肤,129.00,62000,4650,744,0.016,180,0.018,4.7,active
P003,氨基酸洁面乳100ml,护肤,39.90,98000,7840,1254,0.016,450,0.012,4.6,inactive
P004,防晒霜SPF50+ 60ml,护肤,89.00,75000,5250,735,0.014,85,0.025,4.2,active
P005,胶原蛋白眼霜15ml,护肤,159.00,48000,3360,403,0.012,210,0.019,4.4,active
P006,男士控油洁面乳120ml,护肤,49.90,56000,3920,510,0.013,300,0.016,4.1,inactive
P007,玫瑰精华面膜5片装,护肤,79.00,41000,2870,344,0.012,150,0.022,4.3,active
P008,美白淡斑精华液40ml,护肤,199.00,38000,2660,293,0.011,95,0.027,4.0,active
P009,便携小风扇USB充电,数码电器,29.90,120000,10800,2160,0.020,500,0.008,4.8,active
P010,无线蓝牙耳机降噪,数码电器,199.00,88000,7040,1056,0.015,220,0.015,4.5,active
P011,快充数据线Type-C 1m,数码电器,19.90,150000,15000,3750,0.025,800,0.011,4.6,active
P012,智能手表运动版,数码电器,299.00,45000,3150,378,0.012,60,0.032,4.0,active
P013,手机支架桌面款,数码电器,9.90,200000,20000,4000,0.020,1200,0.005,4.7,inactive
P014,笔记本电脑支架铝合金,数码电器,89.00,35000,2450,245,0.010,140,0.017,4.3,active
P015,4K高清投影仪家用,数码电器,1299.00,15000,900,90,0.010,28,0.042,3.8,active
P016,有机绿茶礼盒装250g,食品饮料,69.00,45000,3600,540,0.015,200,0.009,4.7,active
P017,坚果混合装每日坚果500g,食品饮料,49.90,72000,5760,864,0.015,350,0.013,4.5,active
P018,进口黑巧克力礼盒200g,食品饮料,89.00,38000,3040,365,0.012,180,0.020,4.4,active
P019,冻干咖啡粉10条装,食品饮料,39.90,55000,4950,792,0.016,400,0.010,4.6,active
P020,枸杞菊花茶养生组合,食品饮料,29.90,42000,3360,437,0.013,250,0.015,4.2,inactive
P021,瑜伽垫防滑加厚10mm,运动户外,79.00,32000,2240,269,0.012,120,0.023,4.3,active
P022,运动水壶不锈钢800ml,运动户外,59.00,48000,3360,437,0.013,280,0.014,4.5,active
P023,跑步鞋透气轻便男款,运动户外,249.00,28000,1960,235,0.012,70,0.028,4.1,active
P024,跳绳计数电子跳绳,运动户外,29.90,65000,5200,780,0.015,300,0.012,4.4,inactive
P025,蓝牙运动耳机防水,数码电器,159.00,52000,3640,437,0.012,160,0.019,4.2,active
P026,护颈枕记忆棉慢回弹,家居用品,129.00,38000,2660,319,0.012,100,0.024,4.3,active
P027,薰衣草香薰加湿器,家居用品,89.00,42000,2940,353,0.012,150,0.017,4.4,active
P028,真空压缩袋收纳套装,家居用品,39.90,76000,6080,973,0.016,420,0.011,4.5,active
P029,电动牙刷成人声波款,个护清洁,149.00,58000,4060,487,0.012,95,0.026,4.1,active
P030,毛巾纯棉3条装,家居用品,49.90,88000,7920,1267,0.016,600,0.008,4.6,active
P031,桌面收纳盒多层塑料,家居用品,29.90,94000,8460,1354,0.016,480,0.010,4.4,active
P032,无绳吸尘器手持大吸力,家电,599.00,18000,1260,139,0.011,35,0.035,3.9,active
P033,空气炸锅大容量5L,家电,329.00,25000,1750,210,0.012,55,0.031,4.0,active
P034,电热水壶304不锈钢1.8L,家电,79.00,55000,4400,660,0.015,170,0.014,4.3,inactive
P035,迷你电饭煲1-2人,家电,159.00,28000,1960,235,0.012,80,0.025,4.0,active
