campaign_id,campaign_name,product_id,start_date,end_date,budget,spend,impressions,clicks,orders,roi,status
C001,618面膜主推,P001,2026-05-20,2026-06-20,50000,38500,280000,19600,2940,4.57,active
C002,精华液会员日,P002,2026-05-15,2026-06-15,30000,22000,180000,12600,1890,5.40,active
C003,防晒季爆款,P004,2026-04-01,2026-05-31,40000,45000,320000,19200,1920,3.80,completed
C004,小风扇夏日活动,P009,2026-06-01,2026-07-15,20000,12000,150000,13500,2700,6.72,active
C005,数据线冲量特价,P011,2026-05-01,2026-05-30,10000,9800,200000,18000,3600,7.31,completed
C006,智能手表新品首发,P012,2026-06-10,2026-07-10,60000,28000,80000,5600,560,3.98,active
C007,坚果礼盒端午活动,P017,2026-05-25,2026-06-15,15000,9200,90000,7200,1080,5.86,active
C008,绿茶新茶上市,P016,2026-04-15,2026-05-15,8000,7800,60000,4800,720,6.40,completed
C009,瑜伽用品联合推广,P021,2026-06-05,2026-07-05,12000,5800,50000,4000,480,5.52,active
C010,收纳用品满减活动,P028,2026-05-10,2026-06-10,18000,15600,120000,9600,1440,4.62,active
C011,运动鞋夏季清仓,P023,2026-06-01,2026-06-30,25000,23000,70000,4200,378,3.27,active
C012,投影仪618大促,P015,2026-05-25,2026-06-20,35000,31000,40000,2000,180,1.66,active
